Item ID	English	French	Italian	German	Swedish	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
htd_iron_great_sword	Iron Flamberge	Espadon en fer	Zweihänder	Eisernes Großschwert	Järnflamberge	Gran espada de Hierro	Железный длинный меч	Flamberge de fier	Железният Фламберж	Ironелезо Фламберж	Rauta	Iron Flamberge	Jern flamberge	Iron Flamberge	Demir Büyük Kılıç	Geležinė plunksna	Železný plamen	Vas bombázás	Železná flamberge	Żelazny flamberge	Ijzeren Langzwaard	Flamberge de ferro	Espada Grande de Ferro Pesado	铁质大剑	アイアンフランベルジュ	철 대검	लोहे की भट्ठी	Iron Flamberge	Iron Flamberge	Željezni blumber	რკინის ფლანგვა	Σίδηρος	Ирон Фламберге	Залізний вогнепальний
htd_iron_great_sword_desc	A wavy greatsword of death. The design is foreign, but quite effective.	Espadon ondulée. La conception est peu commune mais plutôt efficace.	Una spada ondulata di morte. Il design è estraneo, ma abbastanza efficace.	Ein gewelltes Großschwert des Todes. Das Design ist fremd, aber sehr effektiv.	Ett vågigt stora dödsord. Designen är utländsk, men ganska effektiv.	Una espada ondulada de la muerte, su diseño es un poco extraño pero efectivo.	Двуручный меч с необычным волнистым лезвием, дизайн которого кажется не местным, но все равно является эффективным против врагов.	Un mare cuvânt ondulat al morții. Proiectarea este străină, dar destul de eficientă.	Вълно великолепно състояние на смъртта. Дизайнът е чужд, но доста ефективен.	Брановиден одличен збор на смртта. Дизајнот е странски, но прилично ефикасен.	Aaltoileva kuoleman suuruus. Suunnittelu on vieras, mutta melko tehokas.	Et bølget storsord af død. Designet er fremmed, men ganske effektivt.	Et bølget storsord av død. Designet er utenlandsk, men ganske effektivt.	Bylgjaður stórveldi dauðans. Hönnunin er erlend, en nokkuð árangursrík.	Kavisli büyük bir ölüm kılıcı, tasarımı yabancı ama oldukça etkili.	Banguotas mirties didžioji laida. Dizainas yra svetimas, tačiau gana efektyvus.	Vlnitý meč smrti. Design je cizí, ale docela účinný.	Egy hullámos halálos nőstény. A formatervezés idegen, de meglehetősen hatékony.	Zvlnený veľkolepý meč smrti. Dizajn je cudzí, ale celkom efektívny.	Falujący wielki miecz śmierci. Projekt jest obcy, ale dość skuteczny.	Een golvend langzwaard des doods, het ontwerp is vreemd maar zeer effectief.	Uma grande vasta da morte. O design é estranho, mas bastante eficaz.	Uma espada larga ondulada e mortal, a aparência é estranha, mas bastante eficaz.	一把波浪形的死亡大剑，设计很陌生但很有效。	波打つ死の大剣。デザインは外国風だが、なかなか効果的。	뱀모양의 이국적인 검신은 생각보다 효과적입니다.	मौत का एक लहरदार महान। डिजाइन विदेशी है, लेकिन काफी प्रभावी है।	ดาบใหญ่มรณะ การออกแบบเป็นของต่างประเทศ แต่ค่อนข้างมีประสิทธิภาพ	A wavy greatsword of death. The design is foreign, but quite effective.	Valovita magarca smrti. Dizajn je strani, ali prilično učinkovit.	სიკვდილის ტალღოვანი დიდებული. დიზაინი არის უცხო, მაგრამ საკმაოდ ეფექტური.	Ένα κυματιστό μεγάλο θάνατο. Ο σχεδιασμός είναι ξένος, αλλά αρκετά αποτελεσματικός.	Важани сјај смрти. Дизајн је страни, али прилично ефикасан.	Хвилястий великодушник смерті. Дизайн є іноземним, але досить ефективним.
htd_iron_heavy_great_sword	Iron Zweihander	Lourde espadon en fer	Iron Zweihander	Schweres Eisengroßschwert	Iron Zweifander	Gran espada de Hierro pesada	Железный тяжелый длинный меч	Iron Zweihander	Желязо Цвейхандър	Ironелезо Звехандер	Rauta Zweihander	Iron Zweihander	Iron Zweihander	Iron Zweihander	Ağır Demir Büyük Kılıç	Geležinis Zweihanderis	Železný dvouručák	Vas zweihander	Železný zweihander	Żelazo Zweihander	Zwaar Ijzeren Langzwaard	Iron Zweihander	Espada Grande de Ferro Pesado	重铁大剑	アイアンツヴァイハンダー	중철 대검	आयरन ज़ेहिहैंडर	Iron Zweihander	Iron Zweihander	Željezo Zweihander	რკინის ზვეიჰანდერი	Σίδηρος Zweihander	Ирон Звеихандер	Залізний Zweihander
htd_iron_heavy_great_sword_desc	A foreign weapon design that is heavier towards the end, and in general. Harder to swing, but devastatingly effective.	Une arme lourde de conception étrangère. Plus difficile à manier mais plus puissante qu'une espadon en fer classique.	Un design dell'arma straniera che è più pesante verso la fine e in generale. Più difficile da oscillare, ma devastantemente efficace.	Eine Waffe mit ausländischem Design, die gegen Ende und im Allgemeinen schwerer ist. Schwerer zu schwingen, aber stärker als ein normales Großschwert.	En utländsk vapendesign som är tyngre mot slutet och i allmänhet. Svårare att svänga, men förödande effektiv.	Un diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña.	Чужестранное оружее с ощутимым перевесом в лезвии. Им труднее размахивать, но тем не менее он сильнее, чем обычный длинный железный меч.	Un design de arme străine care este mai greu spre sfârșit și, în general,. Mai greu de balansat, dar devastator de eficient.	Чуждестранен дизайн на оръжие, който е по -тежък към края и като цяло. По -трудно да се люлее, но опустошително ефективно.	Дизајн на странско оружје што е потежок кон крајот, и воопшто. Потешко да се замав, но уништувачки ефикасен.	Ulkomainen aseiden suunnittelu, joka on raskaampi loppua kohti ja yleensä. Vaikeampi kääntää, mutta tuhoisasti tehokas.	Et udenlandsk våbendesign, der er tungere mod slutningen, og generelt. Sværere at svinge, men ødelæggende effektiv.	En fremmedvåpendesign som er tyngre mot slutten, og generelt. Vanskeligere å svinge, men ødeleggende effektiv.	Erlend vopnhönnun sem er þyngri undir lokin og almennt. Erfiðara að sveifla, en hrikalegt árangursrík.	Sonlara doğru ve genel olarak daha ağır olan başka bir yabancı tasarım. Savurması daha zor ama normal demir büyük kılıçtan daha güçlü.	Užsienio ginklų dizainas, sunkesnis pabaigoje ir apskritai. Sunkiau pasisukti, bet niūriai efektyvus.	Zahraniční konstrukce zbraně, která je těžší ke konci, a celkově těžší na rozmáchnutí, ale ničivě účinná.	Egy idegen fegyveres kialakítás, amely a vége felé nehezebb, és általában. Nehezebb lengeni, de pusztítóan hatékony.	Dizajn zahraničnej zbrane, ktorý je na konci ťažší a všeobecne. Ťažšie sa hojdať, ale zničujúco efektívne.	Pod koniec i ogólnie projekt broni zagranicznej, który jest cięższy. Trudniej do zamachu, ale niszczycie skuteczne.	Een vreemd ontworpen wapen dat zwaarder is richting de punt. Het is moeilijker te zwaaien maar sterker dan een normaal langzwaard	Um design de armas estrangeiras que é mais pesado no final e em geral. Mais difícil de balançar, mas devastadoramente eficaz.	Uma arma de design estrangeiro, é mais pesada no final . Mais difícil de balançar, porém mais forte do que uma espada larga normal.	一种外来人设计的武器，在接近尾端时更重，一般来说。更难挥舞，但比普通的巨剑更强。	先端に行くほど重くなる外国の武器デザイン。振り回すのは難しいが、破壊的な効果がある。	끝으로 갈수록 무거워지는 검신은 휘두르기 어렵지만 일반 철 양손검보다 강합니다.	एक विदेशी हथियार डिजाइन जो अंत की ओर और सामान्य रूप से भारी है। स्विंग करने के लिए कठिन, लेकिन विनाशकारी रूप से प्रभावी।	การออกแบบอาวุธต่างประเทศที่หนักกว่าในตอนท้ายและโดยทั่วไป แกว่งยากกว่า แต่มีประสิทธิภาพทำลายล้าง	A foreign weapon design that is heavier towards the end, and in general. Harder to swing, but devastatingly effective.	Dizajn stranog oružja koji je teži prema kraju, i općenito. Teže je ljuljati, ali razorno učinkovito.	უცხოური იარაღის დიზაინი, რომელიც უფრო მძიმეა ბოლომდე და ზოგადად. სვინგი უფრო რთულია, მაგრამ დამანგრეველი ეფექტური.	Ένα σχέδιο ξένου όπλου που είναι βαρύτερο προς το τέλος, και γενικά. Δυσκολότερο να ταλαντεύεται, αλλά καταστροφικά αποτελεσματικό.	Дизајн страног оружја који је тежи ка крају и уопште. Теже љуљати, али разарајуће ефикасан.	Дизайн зовнішньої зброї, який важчий до кінця, і взагалі. Важніше розмахувати, але руйнівно ефективно.
htd_silver_great_sword	Silver Greatsword	Espadon en argent	Silver Greatword	Silbernes Großschwert	Silverheter	Gran espada de Plata	Серебряный длинный меч	Silver Greatsword	Сребърен страхотен ред	Сребрен одличен збор	Hopeakukka	Silver Greatsword	Silver Greatword	Silver GreatSword	Gümüş Büyük Kılıç	Sidabrinis puikus	Stříbrný velmistr	Ezüst nagyhallgató	Breh	Silver Greatsword	Zilveren Langzwaard	Silver Greatsword	Espada Grande de Prata	银质大剑	シルバー・グレートソード アザー	은 대검	सिल्वर ग्रेटस्वर्ड	Silver Greatsword	Silver Greatsword	Silver Greatsword	ვერცხლის დიდებული	Ασημένιο Greatsword	Сребрни Греатсворд	Срібний великий меч
htd_silver_great_sword_desc	A large, ceremonial sword forged from pure silver, often carried by warrior nobility. Though not expressly made for combat, it has excellent range and the silver blade rends the undead apart.	Une espadon de cérémonie argentée. Les nobles guerriers ne choisiraient pas de renoncer à leur sécurité par choix. Cependant, la portée et sa lame argentée rendent cette arme idéale pour les hordes de morts-vivants.	Una grande spada cerimoniale forgiata dall'argento puro, spesso trasportata dalla nobiltà guerriera. Sebbene non espressamente realizzato per il combattimento, ha una gamma eccellente e la lama d'argento distingue i non morti.	Ein großes versilbertes Zeremonialschwert, edle Krieger würden ihre persönliche Sicherheit nicht freiwillig aufgeben. Die Reichweite und das Silber machen diese Waffe jedoch großartig für Horden von Untoten.	Ett stort, ceremonellt svärd smidd från rent silver, ofta bärs av krigares adel. Även om det inte uttryckligen är gjord för strid, har den utmärkt räckvidd och silverbladet rensar de odöda isär.	Una larga espada ceremonial, normalmente los nobles no eligen un arma que los deje desprotegidos. En cualquier caso, el rango y el material hacen que esta arma sea buena para las hordas de los no-muertos.	Длинный церемониальный меч украшенный серебром, ни один благородный воин не отказался бы от своей безопасности, однако длинное лезвие и чистое серебро делают его отличным оружием против полчищ нежити.	O sabie mare, ceremonială, falsificată din argint pur, adesea purtată de nobilimea războinicului. Deși nu este făcut în mod expres pentru luptă, are o gamă excelentă, iar lama de argint scoate strigoi.	Голям, церемониален меч, изкован от чисто сребро, често носен от воино благородство. Въпреки че не е изрично създаден за битка, той има отличен обхват и сребърното острие развълнува нежить.	Голем, церемонијален меч фалсификуван од чисто сребро, честопати го носат воинствено благородништво. Иако не е експлицитно направен за борба, тој има одличен опсег и среброто сечило го издвојува Undead.	Suuri, seremoniallinen miekka, joka on taottu puhtaasta hopeasta, jota usein kuljettaa soturi aatelisto. Vaikka se ei ole nimenomaisesti valmistettu taisteluun, sillä on erinomainen alue ja hopeaterä erottaa Undeadin toisistaan.	Et stort, ceremonielt sværd smed fra rent sølv, ofte båret af kriger adel. Selvom det ikke udtrykkeligt er skabt til kamp, ​​har den fremragende rækkevidde, og sølvbladet gør de udøde fra hinanden.	Et stort, seremoniell sverd smidd fra rent sølv, ofte båret av krigerens adel. Selv om det ikke uttrykkelig er laget for kamp, ​​har det utmerket rekkevidde og sølvbladet gjør de vandøde fra hverandre.	Stórt, vígslu sverð falsað úr hreinu silfri, oft flutt af Warrior aðalsmanna. Þó það sé ekki sérstaklega gert fyrir bardaga hefur það frábært svið og silfurblaðið rendar ódauð í sundur.	Büyük bir gümüş merasim kılıcı. Asil olan savaşçılar kişisel güvenliklerinden vazgeçmeyi tercih etmezler. Ancak menzili ve saf gümüşten olması onu ölümsüz ordular için harika bir tercih olarak kılıyor.	Didelis, ceremoninis kardas, suklastotas iš gryno sidabro, kurį dažnai nešiojo kario bajorai. Nors jis nėra aiškiai pagamintas kovai, jis turi puikų diapazoną, o sidabrinis ašmenys išsiskiria be galo.	Velký obřadní meč ukovaný z ryzího stříbra, který často nosí válečníci z řad šlechty. Ačkoli není určen přímo k boji, má vynikající dosah a jeho stříbrná čepel trhá nemrtvé na kusy.	Egy tiszta ezüstből kovácsolt nagy, ünnepi kard, amelyet gyakran harcos nemesség hordoz. Noha nem kifejezetten harcra készül, kiváló hatótávolsággal rendelkezik, és az ezüst penge elválasztja az Undead -ot.	Veľký, slávnostný meč kovaný z čistého striebra, často nosený šľachtou bojovníka. Aj keď to nie je výslovne vyrobené pre boj, má vynikajúci rozsah a strieborná čepeľ sa rozpadne.	Duży, ceremonialny miecz wykuty z czystego srebra, często przenoszony przez szlachtę wojownika. Choć nie jest wyraźnie wykonany do walki, ma doskonały zasięg, a srebrne ostrze rozróżnia nieumarłe.	Een groot verzilverd ceremonieel zwaard, adele krijgers zouden hun veiligheid niet vrijwillig opgeven. Evenals, het bereik en het zilver maken dit wapen geweldig tegen hordes ondonden.	Uma espada grande e cerimonial forjada de prata pura, frequentemente carregada pela nobreza guerreiro. Embora não seja expressamente feita para combate, ele tem excelente alcance e a lâmina prateada se separa dos mortos -vivos.	Uma grande espada cerimonial de prata, os nobres guerreiros não escolheriam abrir mão de sua segurança pessoal. No entanto, o alcance e a prata tornam esta arma excelente para hordas de mortos-vivos.	一把超大的镀银仪式用剑，高贵的武者会用它捍卫自己的安全。 挥舞的范围和纯银材质对亡灵生物而言是致命的。	純銀製の儀式用の大剣で、武家貴族がよく持っている。戦闘用ではないが、優れた射程距離を持ち、銀の刃はアンデッドを切り裂く。	은으로 도금된 의식용 검. 이검을 지닌 고귀한 전사들은 죽은자들과의 싸움을 주저하지 않습니다.	शुद्ध चांदी से जाली एक बड़ी, औपचारिक तलवार, जिसे अक्सर योद्धा के कुलीनता द्वारा ले जाया जाता है। हालांकि युद्ध के लिए स्पष्ट रूप से नहीं बनाया गया है, इसमें उत्कृष्ट रेंज है और सिल्वर ब्लेड अंडरड को अलग करता है।	ดาบพิธีการขนาดใหญ่ที่หลอมจากเงินบริสุทธิ์ มักถือโดยขุนนางนักรบ แม้ว่าจะไม่ได้สร้างมาเพื่อการต่อสู้อย่างชัดแจ้ง แต่ก็มีระยะยิงที่ยอดเยี่ยมและใบมีดสีเงินจะผ่าเหล่าอันเดดออกจากกัน	A large, ceremonial sword forged from pure silver, often carried by warrior nobility. Though not expressly made for combat, it has excellent range and the silver blade rends the undead apart.	Veliki, ceremonijalni mač kovan iz čistog srebra, koji je često nosio ratničko plemstvo. Iako nije izričito napravljen za borbu, ima odličan domet, a srebrna oštrica rađa Undead.	დიდი, საზეიმო ხმალი, რომელიც ყალბია სუფთა ვერცხლისგან, რომელსაც ხშირად მეომარი კეთილშობილება აქვს. თუმც პირდაპირ არ არის გაკეთებული საბრძოლო, მას აქვს შესანიშნავი დიაპაზონი და ვერცხლისფერი დანა უღიმღამოდ გამოირჩევა.	Ένα μεγάλο, τελετουργικό σπαθί σφυρηλατημένο από καθαρό ασήμι, που συχνά μεταφέρεται από πολεμική ευγένεια. Αν και δεν φτιάχτηκε ρητά για μάχη, έχει εξαιρετική σειρά και η ασημένια λεπίδα τρέχει τα undead χωριστά.	Велики, церемонијални мач кован из чистог сребра, који је често носило племство ратника. Иако није изричито направљено за борбу, има одличан распон и сребрна сечива одваја Ундеад.	Великий церемоніальний меч, кований з чистого срібла, часто перенесеного дворянством. Хоча це не прямо створено для бою, він має відмінний асортимент, а срібне лезо розкладає нежиті.
htd_silver_great_mace	Great Silver Mace	Masse en argent	Grande mazza d'argento	Großer Silberstreitkolben	Bra silvermass	Gran mazo de Plata	Серебряная двуручная булава	Mace de argint excelent	Страхотно сребърно боздуган	Одлична сребрена жешка	Suuri hopea	Stor sølvmace	Stor sølvmace	Frábær silfur mace	Büyük Gümüş Gürz	Puiki sidabrinė MACE	Velký stříbrný palcát	Nagyszerű ezüst mace	Veľký strieborný pás	Świetna srebrna matka	Zilveren Grootknots	Grande maça de prata	Excelente Maça de Prata	银质狼牙棒	グレートシルバーメイス・アサー	은 양손메이스	महान चांदी गदा	Great Silver Mace	Great Silver Mace	Izvrsna srebrna mace	დიდი ვერცხლის ჯადოქარი	Υπέροχο ασημένιο ματς	Греат Силвер Маце	Чудова срібна булава
htd_silver_great_mace_desc	Forged with silver and enchanted, its dense metal and purifying bite cleaves through the undead. Further, its enchantments grant it the ability to freeze those that meet its bludgeoning head.	Forgé avec de l'argent et enchanté, le poids de sa tête contondante la rend idéal contre les morts-vivants. Les enchantements lui donnent la capacité de geler ceux qu'elle touche.	Forgiato con argento e incantato, il suo metallo denso e il morso purificante si scinde attraverso i non morti. Inoltre, i suoi incantesimi gli conferiscono la possibilità di congelare coloro che incontrano la sua testa di bludgeoning.	Mit Silber geschmiedet und verzaubert, macht es das Gewicht des Knüppelkopfes großartig gegen die Untoten. Die Verzauberungen geben ihm die Fähigkeit, diejenigen einzufrieren, die er trifft.	Forged med silver och förtrollad, dess täta metall och renande bett klyver genom de odöda. Vidare ger dess förtrollningar det förmågan att frysa de som möter dess bludgeoning -huvud.	Forjada y encantada con plata, su peso y material la convierte en un arma muy deseada para acabar con los no-muertos. Los encantamientos le otorgan el poder de congelar con cada golpe.	Зачарованная булава, выкованная из серебра, что делает её отличным оружием против нежити. Чары в свою очередь дают ей возможность замораживать пораженных врагов.	Forjat cu argint și fermecat, metalul său dens și mușcătura purificatoare scapă prin strigoi. Mai mult, fermecările sale îi acordă capacitatea de a îngheța pe cei care își îndeplinesc capul bludgeoning.	Изкопан със сребро и омагьосан, плътният му метал и пречистващата ухапване се разцепва през нежить. Освен това, неговите очарования му предоставят възможността да замрази онези, които отговарят на неговата безочлива глава.	Фалсификувани со сребро и маѓепсани, неговиот густ метал и прочистувањето на залак се распрснува низ Undead. Понатаму, неговите волшебници му даваат можност да ги замрзне оние што ја исполнуваат нејзината глава за замаглување.	Hopealla ja lumottuna taottu, sen tiheä metalli ja puhdistava purema katkaisee Undeadin läpi. Lisäksi sen lumoukset antavat sille kyvyn jäädyttää ne, jotka täyttävät sen räjähtävän pään.	Smedet med sølv og fortryllet, dets tætte metal og rensende bid spalter gennem de udøde. Endvidere giver dens fortryllelser det evnen til at fryse dem, der møder dets bludgeoning -hoved.	Svidlet med sølv og fortryllet, spalter det tette metallet og rensende bittbitt gjennom de vandøde. Videre gir fortryllelser den muligheten til å fryse de som oppfyller dets bløtete hodet.	Falsað með silfri og hreif, þéttur málmur og hreinsandi bitaklofar í gegnum undead. Ennfremur veita hreifingar þess möguleika á að frysta þá sem uppfylla blönduhöfuð.	Gümüşle dövülmüş ve büyülenmiş, gümüşün ağırlığı, arındırıcı metalden ve yoğunluktan onu ölümsüzlere karşı harika kılıyor. Büyüler ona çarptığını dondurma yeteneği sağlar.	Suklastotas su sidabru ir užburtas, jo tankus metalas ir apsivalęs kąsnis sklinda per Undead. Be to, jos užkeikimai suteikia galimybę užšaldyti tuos, kurie sutinka su jos blgdijuojančia galva.	Je vykovaný ze stříbra a očarovaný, jeho hutný kov a očistný skus proniká nemrtvými. Dále mu kouzla propůjčují schopnost zmrazit ty, kteří se setkají s jeho tupou hlavou.	Ezüst és elvarázsolt kovácsolt, sűrű fém és tisztító harapás az élőholtakon keresztül hasít. Továbbá, a varázslatok lehetővé teszik annak lehetőségét, hogy befagyasztja azokat, amelyek megfelelnek a bántó fejnek.	Káša strieborným a očareným, jeho hustý kov a čistenie uhryznutia štiepi nemŕtvy. Jej očarovanie mu ďalej udeľujú schopnosť zmraziť tých, ktorí spĺňajú jej bludiakovú hlavu.	Wykuty srebrem i zaczarowany, jego gęsty metal i oczyszczający ugryzienie przechodzi przez nieumarłych. Ponadto jego zaklęcia dają mu możliwość zamrozić tych, którzy spotykają się z głową.	Gesmeed met zilver en betoverd, het gewicht van de knots maakt het gewldig tegen ondoden. De betoveringen geeft het de kracht degene die geraakt worden te bevriezen.	Forjados com prata e encantados, seu denso metal e pinge pimenta se agravam através dos mortos -vivos. Além disso, seus encantamentos lhe concedem a capacidade de congelar aqueles que encontram sua cabeça de espancar.	Forjado com prata e encantado, o peso da cabeça do golpe o torna grande contra os mortos-vivos. Os encantamentos dão a habilidade de congelar esses golpes.	用银锻造并附魔，银的重量使其从净化金属和密度上可以很好地对抗不死生物。 附魔使它能够冻结它击中的人。	銀で鍛えられ、エンチャントされたその金属は、アンデッドを切り裂き、浄化する。さらに、そのエンチャントにより、打撃を受けた者を凍らせることができる。	은으로 단조되고 마법이 부여된 은 양손메이스는 교회의 이단심문관의 주무기입니다. 죽은자들에게 효과적입니다.	चांदी के साथ जाली और मुग्ध, इसकी घनी धातु और मरे के माध्यम से काटने के क्लीव्स को शुद्ध करना। इसके अलावा, इसके मुग्धता ने इसे उन लोगों को फ्रीज करने की क्षमता प्रदान की जो इसके धुंधले सिर से मिलते हैं।	หลอมด้วยเงินและมนต์เสน่ห์ โลหะหนาทึบและรอยกัดที่บริสุทธิ์จะทะลุผ่านซากศพ นอกจากนี้ การร่ายมนตร์ของมันยังทำให้สามารถแช่แข็งผู้ที่กระทบกับหัวกระบองของมันได้	Forged with silver and enchanted, its dense metal and purifying bite cleaves through the undead. Further, its enchantments grant it the ability to freeze those that meet its bludgeoning head.	Kovan srebrom i očaran, gusti metal i pročišćavajući zalogaj prolazi kroz mrtvo. Nadalje, njegovi očaravanja daju mu mogućnost zamrzavanja onih koji ispunjavaju njegovu glavu.	ყალბი ვერცხლით და მოხიბლული, მისი მკვრივი ლითონი და გამწმენდი ნაკბენი ჭრილობს ურდოს მეშვეობით. გარდა ამისა, მისი მოხიბლვები მას ანიჭებს შესაძლებლობას გაყინოს ის, ვინც აკმაყოფილებს მის bludgeoning ხელმძღვანელს.	Σφυρηλατημένο με ασήμι και μαγεμένο, το πυκνό μέταλλο του και το καθαριστικό δάγκωμα διασπάται μέσα από τα undead. Επιπλέον, οι γοητείες του δίνουν τη δυνατότητα να παγώσουν εκείνους που συναντούν το κεφάλι του.	Копано сребром и очараним, њен густ метал и прочишћавање угриза прочисти кроз некретни. Надаље, његове очарање одобравају то могућност замрзавања оних који задовољавају његову главу.	Зароблений сріблом і зачарованим, його щільним металом та очищаючим укусом прорізається через нежить. Крім того, його зачарування надають йому можливість заморозити тих, що відповідають його гнучій голові.
htd_silver_battleaxe	Silver Battleaxe	Hache en argent	Battleaxe d'argento	Silberne Streitaxt	Silverbattleaxe	Hacha de guerra de Plata	Серебряная секира	Battleaxe de argint	Сребърна битка	Сребрена борба	Hopea -battleaxe	Silver Battleaxe	Silver Battleaxe	Silfur Battleaxe	Gümüş Savaş Baltası	Sidabrinis mūšis	Stříbrná bojová sekera	Ezüst csataxe	Striebro	Silver Battleaxe	Zilveren Strijdbijl	Battleaxe de prata	Machado de Batalha de Prata	银色战斧	シルバーバトルアックス・アサー	은 전투도끼	चांदी की लड़ाई	Silver Battleaxe	Silver Battleaxe	Srebrna borba	ვერცხლის ბიტლეი	Ασημένια μάχη	Силвер Баттлеаке	Срібний бойовий
htd_silver_battleaxe_desc	Purest of metals, this battleaxe is touched by the fury of the sky and cackles with electricity.  It's also pretty good at cutting trees.	Fabriquée à partir des métaux les plus purs, cette hache de combat est touchée par la fureur du ciel et la fait crépiter d'électricité.	Più puri di metalli, questo battleax è toccato dalla furia del cielo e ridacchia con elettricità. È anche abbastanza bravo a tagliare gli alberi.	Diese aus reinsten Metallen gefertigte Streitaxt wird von der Wut des Himmels berührt und lässt sie vor Elektrizität knistern. Es kann auch aufgrund von Sunder Trees machen.	Renast av metaller, denna Battleaxe berörs av himmelens raseri och kacklar med elektricitet. Det är också ganska bra på att klippa träd.	Forjada con el mas puro de los metales, esta hacha de batalla es tocada por la furia del cielo, haciéndola crepitar con la electricidad.	Боевой топор из чистейшего из металлов, наполненный яростью неба, заставляющей его излучать электрические разряды. Искры также могут появится и при рубке деревьев.	Cel mai pur metale, acest battleaxe este atins de furia cerului și de cackles cu electricitate. De asemenea, este destul de bun la tăierea copacilor.	Най -чистият метали, тази бойна леяла е докоснато от яростта на небето и се забива с електричество. Освен това е доста добре в рязането на дървета.	Најчисти од метали, овој Battleaxe е допрена од бесот на небото и се гуши со електрична енергија. Исто така е прилично добро во сечење дрвја.	Metallien puhtainta, tätä battleaxeä koskettaa taivaan raivo ja sähköä. Puiden leikkaamisessa on myös melko hyvä.	Denne battleaxe er renest af metaller, rørt af himmelens raseri og kakler med elektricitet. Det er også ret godt til at skære træer.	Purest of Metals, denne Battleaxe blir berørt av himmelens raseri og kakler med strøm. Det er også ganske bra til å kutte trær.	Hreinasti af málmum, þessi bardaga er snert af heift himins og kekki með rafmagni. Það er líka nokkuð gott í að klippa tré.	Metallerin en safından olan bu savaş baltası, gökyüzünün gazabından etkilenir ve elektrikle kıvılcımlanır. Uzuvkoparan ağaçlar nedeniyle de yapabilir.	Pirkę metalus, šį mūšį paliečia dangaus įniršis ir elektra kankina. Taip pat gana gerai pjaustyti medžius.	Tato bojová sekera, nejčistší z kovů, se dotýká nebeské zuřivosti a kypí elektřinou.  Také se s ní docela dobře kácí stromy.	A fémek legtisztább, ezt a Battleaxe -t megérinti az ég düh és villamos energiával. Nagyon jó a fák vágásában is.	Tento battleaxe je najčistejší z kovov, dotýkajú sa zúrivosti oblohy a kliešťami s elektrinou. Je to tiež celkom dobré pri rezaní stromov.	Najczystszy metal, ten Battleaxe jest dotknięty furią nieba i przeciekającym elektrycznością. Jest również całkiem dobry w cięciu drzew.	Gemaakt van de puurste metalen, deze strijdbijl is geraakt door de furie van de lucht waardoor het knettert met elektriciteit. Het zal ook voldoen om bome te splijtsen.	O mais puro dos metais, este batalhão é tocado pela fúria do céu e garra com eletricidade. Também é muito bom em cortar árvores.	Feito com o mais puro dos metais, este machado de batalha é tocado pela fúria do céu fazendo-o estalar com eletricidade. Também pode ocorrer devido a árvores rachadas.	最纯净的金属，这把战斧被天空的愤怒所触动，使其发出电流声。 它也可能因树木被破坏而产生。	天空の怒りに触れ、電気を帯びた純金属の戦斧。  木を切るのも得意。	순수한 금속인 이 전투도끼는 하늘의 분노에 전율합니다.	धातुओं के शुद्धतम, इस युद्धक को आकाश के रोष द्वारा छुआ जाता है और बिजली के साथ cackles होता है। यह पेड़ों को काटने में भी बहुत अच्छा है।	โลหะบริสุทธิ์ที่สุด ขวานต่อสู้นี้สัมผัสได้ถึงความเกรี้ยวกราดของท้องฟ้าและเปล่งเสียงด้วยไฟฟ้า ตัดต้นไม้ได้ดีทีเดียว	Purest of metals, this battleaxe is touched by the fury of the sky and cackles with electricity.  It's also pretty good at cutting trees.	Najčišće od metala, ovu bitku dirnu bijes neba i udara električnom energijom. Također je prilično dobar u rezanju stabala.	ლითონების სუფთა, ამ ბათესს შეეხო ცის მრისხანება და ელექტროენერგიით იჭრება. ასევე საკმაოდ კარგია ხეების მოჭრა.	Το πιο αγνό των μετάλλων, αυτό το battleaxe αγγίζει τη μανία του ουρανού και χτυπάει με ηλεκτρική ενέργεια. Είναι επίσης πολύ καλό στην κοπή δέντρων.	Чишћење метала, овај Баттлеаке додирује бесан неба и лукови електричном енергијом. Такође је прилично добар у сећи дрвеће.	Найчистіший з металів, цей баттлакс доторкається лють неба і збивається з електрикою. Це також досить добре вирізати дерева.
