Internal Name,Localized Name,Item Type,Description,Source Mod
"Abomination","Abomination","Creature","","Valheim"
"Acorn","Acorns","Item","$item_oakseeds_description","Valheim"
"Amber","Amber","Item","$item_amber_description","Valheim"
"AmberPearl","Amber Pearl","Item","$item_amberpearl_description","Valheim"
"ancient_skull","ancient_skull","Undefined","","Valheim"
"AncientSeed","Ancient Seed","Item","$item_ancientseed_description","Valheim"
"ArmorAshlandsMediumChest","Breastplate of Ask","Armor","$item_chest_medium_ashlands_description","Valheim"
"ArmorAshlandsMediumlegs","Trousers of Ask","Armor","$item_legs_medium_ashlands_description","Valheim"
"ArmorBronzeChest","Bronze Plate Tunic","Armor","$item_chest_bronze_description","Valheim"
"ArmorBronzeLegs","Bronze Plate Leggings","Armor","$item_legs_bronze_description","Valheim"
"ArmorCarapaceChest","Carapace Breastplate","Armor","$item_chest_carapace_description","Valheim"
"ArmorCarapaceLegs","Carapace Greaves","Armor","$item_legs_carapace_description","Valheim"
"ArmorDress1","Plain Brown Dress","Armor","$item_chest_dress1_description","Valheim"
"ArmorDress10","Simple Undyed Dress","Armor","$item_chest_dress10_description","Valheim"
"ArmorDress2","Brown Dress with Shawl","Armor","$item_chest_dress2_description","Valheim"
"ArmorDress3","Brown Dress with Beads","Armor","$item_chest_dress3_description","Valheim"
"ArmorDress4","Plain Blue Dress","Armor","$item_chest_dress4_description","Valheim"
"ArmorDress5","Blue Dress with Shawl","Armor","$item_chest_dress5_description","Valheim"
"ArmorDress6","Blue Dress with Beads","Armor","$item_chest_dress6_description","Valheim"
"ArmorDress7","Plain Yellow Dress","Armor","$item_chest_dress7_description","Valheim"
"ArmorDress8","Yellow Dress with Shawl","Armor","$item_chest_dress8_description","Valheim"
"ArmorDress9","Yellow Dress with Beads","Armor","$item_chest_dress9_description","Valheim"
"ArmorFenringChest","Fenris Coat","Armor","$item_chest_fenris_description","Valheim"
"ArmorFenringLegs","Fenris Leggings","Armor","$item_legs_fenris_description","Valheim"
"ArmorFlametalChest","Flametal Breastplate","Armor","$item_chest_flametal_description","Valheim"
"ArmorFlametalLegs","Flametal Greaves","Armor","$item_legs_flametal_description","Valheim"
"ArmorHarvester1","Harvest Tunic","Armor","$item_chest_harvester1_description","Valheim"
"ArmorHarvester2","Harvest Dress","Armor","$item_chest_harvester2_description","Valheim"
"ArmorIronChest","Iron Scale Mail","Armor","$item_chest_iron_description","Valheim"
"ArmorIronLegs","Iron Greaves","Armor","$item_legs_iron_description","Valheim"
"ArmorLeatherChest","Leather Tunic","Armor","$item_chest_leather_description","Valheim"
