Prefab,Name,Mod,Station,Station Lvl,Skill Level,Recipe,DMG,Armor,Block,Weight,Durability,Tier,World Level,Rarity

kg_EnchantScroll_Armor_Blessed_A,Blessed Enchant Scroll: Armor (A),Valheim Enchantment System,Scroll Station,1,,"GoblinScraps_TW x5, LoxBone_TW x5, InfusedCrystal_JH x9, kg_EnchantScroll_Armor_A x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_Blessed_B,Blessed Enchant Scroll: Armor (B),Valheim Enchantment System,Scroll Station,1,,"WolfPelt x5, WolfHairBundle x5, InfusedCrystal_JH x8, kg_EnchantScroll_Armor_B x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_Blessed_C,Blessed Enchant Scroll: Armor (C),Valheim Enchantment System,Scroll Station,1,,"RottenPelt_TW x5, Chitin x5, InfusedCrystal_JH x7, kg_EnchantScroll_Armor_C x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_Blessed_D,Blessed Enchant Scroll: Armor (D),Valheim Enchantment System,Scroll Station,1,,"RazorbackLeather_TW x5, GreydwarfEye x5, InfusedCrystal_JH x6, kg_EnchantScroll_Armor_D x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_Blessed_F,Blessed Enchant Scroll: Armor (F),Valheim Enchantment System,Scroll Station,1,,"DeerHide x5, Flint x5, InfusedCrystal_JH x5, kg_EnchantScroll_Armor_F x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_Blessed_S,Blessed Enchant Scroll: Armor (S),Valheim Enchantment System,Scroll Station,1,,"Eitr x5, JuteBlack_TW x5, InfusedCrystal_JH x10, kg_EnchantScroll_Armor_S x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_C,Enchant Scroll: Armor (C),Valheim Enchantment System,Scroll Station,1,,"RottenPelt_TW x2, Guck x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_D,Enchant Scroll: Armor (D),Valheim Enchantment System,Scroll Station,1,,"RazorbackLeather_TW x2, BoneFragments x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_F,Enchant Scroll: Armor (F),Valheim Enchantment System,Scroll Station,1,,"DeerHide x2, Resin x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Armor_S,Enchant Scroll: Armor (S),Valheim Enchantment System,Scroll Station,1,,"Eitr x2, Softtissue x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_A,Enchant Scroll: Weapon (A),Valheim Enchantment System,Scroll Station,1,,"GoblinScraps_TW x2, Needle x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_B,Enchant Scroll: Weapon (B),Valheim Enchantment System,Scroll Station,1,,"WolfPelt x2, WolfFang x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
